COLNAMES,,,,,,,,,,,,,,,,,,
7/1/2022,,,,,,,,,,,,,,,,,,
Opened,Closed,Held,Symbol,Type,Entry,Exit,Qty,Gross,Comm,Ecn Fee,SEC,TAF,NSCC,FTT,CLR,ORF,PTFPF,Net
06/30/22 14:46:20,13:40:01,22:53:41,TDS-PV,Long,18.56,18.66,600,56.00,3.00,2.07,0.26,0.11,0.10,0.00,0.00,0.00,0.00,50.47
06/30/22 15:50:43,09:30:56,17:40:13,PDO,Long,13.85,13.85,"3,000",3.75,15.00,17.35,0.95,0.43,0.34,0.00,0.00,0.00,0.00,(30.32)
06/30/22 15:52:30,11:23:30,19:31:00,BKN,Long,13.66,13.75,500,44.61,2.50,1.93,0.16,0.06,0.05,0.00,0.00,0.00,0.00,39.91
Equities,,,,,,,"4,100",104.36,20.50,21.34,1.37,0.60,0.49,0.00,0.00,0.00,0.00,60.06
,,,,,,,,,,,,,,,,,,
7/5/2022,,,,,,,,,,,,,,,,,,
Opened,Closed,Held,Symbol,Type,Entry,Exit,Qty,Gross,Comm,Ecn Fee,SEC,TAF,NSCC,FTT,CLR,ORF,PTFPF,Net
06/30/22 16:00:21,09:32:01,4d 17:31:40,MFA-PC,Long,18.38,18.26,"1,100",(124.00),5.50,4.63,0.46,0.17,0.12,0.00,0.00,0.00,0.00,(134.88)
06/30/22 16:00:21,09:42:29,4d 17:42:08,CMSC,Long,23.32,23.52,"1,000",203.85,5.00,6.12,0.54,0.16,0.08,0.00,0.00,0.00,0.00,191.95
,,,,,,,,,,,,,,,,,,
07/01/22 15:05:59,10:00:16,3d 18:54:17,TDS-PV,Long,18.61,18.87,200,51.00,1.00,0.29,0.09,0.04,0.04,0.00,0.00,0.00,0.00,49.55
Equities,,,,,,,"2,300",130.85,11.50,11.04,1.09,0.37,0.24,0.00,0.00,0.00,0.00,106.62
,,,,,,,,,,,,,,,,,,
7/6/2022,,,,,,,,,,,,,,,,,,
Opened,Closed,Held,Symbol,Type,Entry,Exit,Qty,Gross,Comm,Ecn Fee,SEC,TAF,NSCC,FTT,CLR,ORF,PTFPF,Net
06/30/22 12:21:57,11:42:13,5d 23:20:16,CRF,Long,8.37,8.60,500,111.35,2.50,2.91,0.10,0.10,0.08,0.00,0.00,0.00,0.00,105.66
06/30/22 16:02:33,09:35:50,5d 17:33:17,MTB-PH,Short,25.47,26.64,"1,000","(1,172.00)",5.00,5.40,0.58,0.12,0.07,0.00,0.00,0.00,0.00,"(1,183.17)"
,,,,,,,,,,,,,,,,,,
07/06/22 08:43:14,08:43:22,00:00:08,IINN,Long,2.06,2.05,100,(1.00),0.50,0.66,0.00,0.02,0.02,0.00,0.00,0.00,0.00,(2.20)
07/06/22 08:46:23,08:47:39,00:01:16,IINN,Long,2.12,2.05,100,(6.50),0.50,0.52,0.00,0.03,0.04,0.00,0.00,0.00,0.00,(7.59)
07/06/22 09:00:12,09:03:41,00:03:29,IINN,Long,2.19,2.26,140,9.23,0.70,0.77,0.01,0.05,0.08,0.00,0.00,0.00,0.00,7.62
07/06/22 09:03:59,09:09:11,00:05:12,IINN,Long,2.37,2.37,275,0.30,1.38,1.73,0.02,0.07,0.09,0.00,0.00,0.00,0.00,(2.98)
07/06/22 09:11:36,09:11:42,00:00:06,IINN,Long,2.29,2.28,100,(1.00),0.50,0.70,0.01,0.02,0.02,0.00,0.00,0.00,0.00,(2.24)
Equities,,,,,,,"2,215","(1,059.62)",11.08,12.69,0.72,0.41,0.39,0.00,0.00,0.00,0.00,"(1,084.90)"
,,,,,,,,,,,,,,,,,,
7/8/2022,,,,,,,,,,,,,,,,,,
Opened,Closed,Held,Symbol,Type,Entry,Exit,Qty,Gross,Comm,Ecn Fee,SEC,TAF,NSCC,FTT,CLR,ORF,PTFPF,Net
07/06/22 14:18:36,14:17:01,1d 23:58:25,TDS-PV,Long,18.76,19.19,375,160.00,1.88,0.03,0.16,0.08,0.07,0.00,0.00,0.00,0.00,157.78
Equities,,,,,,,375,160.00,1.88,0.03,0.16,0.08,0.07,0.00,0.00,0.00,0.00,157.78
,,,,,,,,,,,,,,,,,,
7/11/2022,,,,,,,,,,,,,,,,,,
Opened,Closed,Held,Symbol,Type,Entry,Exit,Qty,Gross,Comm,Ecn Fee,SEC,TAF,NSCC,FTT,CLR,ORF,PTFPF,Net
07/08/22 15:00:14,15:38:34,3d 00:38:20,MS-PF,Long,25.72,25.78,"1,000",62.50,5.00,3.11,0.59,0.23,0.24,0.00,0.00,0.00,0.00,53.33
,,,,,,,,,,,,,,,,,,
07/11/22 07:42:06,07:42:23,00:00:17,PLRX,Long,12.42,12.40,50,(1.00),0.25,0.07,0.01,0.01,0.02,0.00,0.00,0.00,0.00,(1.36)
07/11/22 08:22:08,08:22:30,00:00:22,PLRX,Long,14.20,13.94,50,(13.00),0.25,0.33,0.02,0.01,0.02,0.00,0.00,0.00,0.00,(13.62)
07/11/22 08:23:50,08:23:57,00:00:07,PLRX,Long,13.82,13.80,50,(1.00),0.25,0.33,0.02,0.01,0.02,0.00,0.00,0.00,0.00,(1.62)
